,Unnamed: 0,Meteor Score,Bleu Score,Rouge-1 Score,Gunning-Fog Index,Flesch-Kincaid,TOPSIS Score,Rank
0,bart-large-cnn,0.293193441933236,7.055251495853345,0.4852941176470588,6.34,3.5,0.6783532059391778,1.0
1,t5-tokenizer,0.1745924219843742,2.6740081999024,0.406779661016949,2.92,0.2,0.3688492053678995,3.0
2,bart-large-cnn-samsum,0.271712064984027,6.7499515714869,0.5179856115107915,6.37,3.6,0.6679308293176733,2.0
3,distilbart-cnn,0.1548108356114626,0.8552832724324338,0.3364485981308411,2.12,-0.6,0.3187636075446085,4.0
0,bart-large-cnn,0.2302302302302302,4.410798068555123,0.3636363636363636,12.7,11.3,0.095447535678378,4.0
1,t5-tokenizer,0.2538571236449968,10.609798560035587,0.4655172413793103,12.68,10.2,0.5770739986075687,3.0
2,bart-large-cnn-samsum,0.3157131694492585,9.909892596662548,0.4296296296296296,10.9,11.5,0.6399871179341884,2.0
3,distilbart-cnn,0.3283895044629116,13.210437555045758,0.5333333333333333,12.38,9.5,0.8584196803817824,1.0
0,bart-large-cnn,0.2939946601043466,10.174232447912091,0.4390243902439024,10.43,9.0,0.6243177201968841,2.0
1,t5-tokenizer,0.2435038309238736,3.827222801511895,0.3622047244094488,15.43,13.8,0.1899371220522356,3.0
2,bart-large-cnn-samsum,0.3823040531901291,11.362007805361976,0.5203252032520325,13.11,11.5,0.8323279713845323,1.0
3,distilbart-cnn,0.2620446533490012,5.201480214219493,0.3925233644859813,15.46,10.1,0.1653730125101959,4.0
0,bart-large-cnn,0.1687970336677949,8.326540767568435,0.384,13.69,10.3,0.5373339481222754,3.0
1,t5-tokenizer,0.2333957965902409,3.5160253170424847,0.4057971014492754,11.47,11.5,0.3957705751557522,4.0
2,bart-large-cnn-samsum,0.1728104388004641,8.765274497168475,0.3846153846153846,14.26,11.0,0.5678324272400029,2.0
3,distilbart-cnn,0.2534930158681907,6.67747956296927,0.4426229508196722,14.1,8.8,0.6445494690255371,1.0
0,bart-large-cnn,0.2255580267754277,7.580675268692603,0.3464566929133858,16.48,13.1,0.5024330637223005,3.0
1,t5-tokenizer,0.0681341719077568,0.6206683306968445,0.1864406779661017,8.03,7.5,0.2340064691701749,4.0
2,bart-large-cnn-samsum,0.2291451000690131,12.628625519936026,0.4285714285714285,17.51,15.4,0.6342635928818539,2.0
3,distilbart-cnn,0.2941566723628306,18.255832863754048,0.4822695035460992,11.73,9.9,0.8450598428543238,1.0
