,Unnamed: 0,Meteor Score,Bleu Score,Rouge-1 Score,Gunning-Fog Index,Flesch-Kincaid,TOPSIS Score,Rank
0,bart-large-cnn,0.3099860453900372,10.506282957668432,0.4752475247524753,11.4,11.9,0.414225325096561,3.0
1,t5-tokenizer,0.2366415130384946,5.611868651679337,0.2689075630252101,5.9,8.3,0.2818659966946703,4.0
2,bart-large-cnn-samsum,0.3534328794325395,14.067887220782133,0.5048543689320388,11.51,12.3,0.5713970773935938,2.0
3,distilbart-cnn,0.4270497930271632,18.24811909083998,0.5882352941176471,10.33,11.1,0.7602361104751887,1.0
0,bart-large-cnn,0.4225850499375779,21.25477401757994,0.5736434108527131,9.68,8.2,0.7874774169376502,2.0
1,t5-tokenizer,0.1661609593989307,3.2897995092193475,0.3168316831683168,10.68,7.1,0.1490546432108473,4.0
2,bart-large-cnn-samsum,0.3344258420600799,18.597473242134868,0.59375,6.89,4.4,0.6984448061626574,3.0
3,distilbart-cnn,0.403465580579301,19.762470311365707,0.6166666666666667,6.13,4.7,0.7978195472138441,1.0
0,bart-large-cnn,0.0508905852417302,0.3338021941444968,0.0943396226415094,11.31,7.6,0.3213407817713496,4.0
1,t5-tokenizer,0.0621890547263681,1.1144535743625597,0.0512820512820512,7.37,3.1,0.539278361075807,2.0
2,bart-large-cnn-samsum,0.0809464508094645,0.6583831347662611,0.1322314049586777,14.09,8.9,0.5862606109504955,1.0
3,distilbart-cnn,0.0686641697877653,0.6105924678609185,0.1016949152542373,11.81,9.5,0.5147425489159309,3.0
0,bart-large-cnn,0.29513107838422,6.774293644405305,0.4732824427480916,14.17,10.1,0.8183635839805374,1.0
1,t5-tokenizer,0.1359888474551536,1.5979277013447364,0.2051282051282051,9.28,7.3,0.183410342082412,3.0
2,bart-large-cnn-samsum,0.238796407769822,5.154615604801341,0.375,14.26,11.0,0.6279589798203903,2.0
3,distilbart-cnn,0.1318199471317072,1.98042921873754,0.2666666666666667,12.76,10.1,0.1553327114562446,4.0
0,bart-large-cnn,0.1368970013037809,7.924632290267806,0.2616822429906542,13.32,10.8,0.6178544879427184,2.0
1,t5-tokenizer,0.0470430107526881,0.2944558427671266,0.1136363636363636,11.82,7.4,0.052304079085827,4.0
2,bart-large-cnn-samsum,0.2051384646163079,11.478425481626084,0.3486238532110092,10.36,7.6,0.8985599170096774,1.0
3,distilbart-cnn,0.1385224274406332,7.166925781782036,0.32,12.88,7.6,0.6150870852960925,3.0
